ID,Soil_Type,pH,Nitrogen_N,Phosphorus_P,Potassium_K,Moisture_%,Temperature_C,Suggested_Crop
73,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
74,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
75,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
76,Loamy,6.2,42,28,82,48.5,27.8,Potato
77,Clay,6.0,35,22,75,58.4,25.9,Rice
78,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
79,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
80,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
81,Loamy,6.7,48,32,90,42.1,29.5,Potato
82,Clay,5.5,30,24,68,65.2,25.4,Rice
83,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
84,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
85,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
86,Loamy,6.4,44,29,84,46.2,28.1,Potato
87,Clay,5.9,33,26,72,60.5,26.7,Rice
88,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
89,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
90,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
91,Loamy,6.6,46,31,88,44.5,28.9,Potato
92,Clay,5.7,31,23,69,63.4,26.1,Rice
93,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
94,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
95,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
96,Loamy,6.3,43,27,83,47.1,27.5,Potato
97,Clay,6.1,34,21,74,59.2,25.5,Rice
98,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
99,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
100,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
101,Loamy,6.5,45,30,85,45.2,28.5,Potato
102,Clay,5.8,32,25,70,62.1,26.4,Rice
103,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
104,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
105,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
106,Loamy,6.2,42,28,82,48.5,27.8,Potato
107,Clay,6.0,35,22,75,58.4,25.9,Rice
108,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
109,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
110,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
111,Loamy,6.7,48,32,90,42.1,29.5,Potato
112,Clay,5.5,30,24,68,65.2,25.4,Rice
113,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
114,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
115,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
116,Loamy,6.4,44,29,84,46.2,28.1,Potato
117,Clay,5.9,33,26,72,60.5,26.7,Rice
118,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
119,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
120,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
121,Loamy,6.6,46,31,88,44.5,28.9,Potato
122,Clay,5.7,31,23,69,63.4,26.1,Rice
123,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
124,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
125,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
126,Loamy,6.3,43,27,83,47.1,27.5,Potato
127,Clay,6.1,34,21,74,59.2,25.5,Rice
128,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
129,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
130,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
131,Loamy,6.8,49,33,92,41.5,30.1,Potato
132,Clay,5.4,29,25,67,66.1,25.1,Rice
133,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
134,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
135,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
136,Loamy,6.5,45,30,85,45.2,28.5,Potato
137,Clay,5.8,32,25,70,62.1,26.4,Rice
138,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
139,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
140,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
141,Loamy,6.2,42,28,82,48.5,27.8,Potato
142,Clay,6.0,35,22,75,58.4,25.9,Rice
143,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
144,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
145,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
146,Loamy,6.7,48,32,90,42.1,29.5,Potato
147,Clay,5.5,30,24,68,65.2,25.4,Rice
148,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
149,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
150,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
151,Loamy,6.4,44,29,84,46.2,28.1,Potato
152,Clay,5.9,33,26,72,60.5,26.7,Rice
153,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
154,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
155,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
156,Loamy,6.6,46,31,88,44.5,28.9,Potato
157,Clay,5.7,31,23,69,63.4,26.1,Rice
158,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
159,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
160,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
161,Loamy,6.3,43,27,83,47.1,27.5,Potato
162,Clay,6.1,34,21,74,59.2,25.5,Rice
163,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
164,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
165,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
166,Loamy,6.8,49,33,92,41.5,30.1,Potato
167,Clay,5.4,29,25,67,66.1,25.1,Rice
168,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
169,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
170,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
171,Loamy,6.5,45,30,85,45.2,28.5,Potato
172,Clay,5.8,32,25,70,62.1,26.4,Rice
173,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
174,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
175,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
176,Loamy,6.2,42,28,82,48.5,27.8,Potato
177,Clay,6.0,35,22,75,58.4,25.9,Rice
178,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
179,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
180,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
181,Loamy,6.7,48,32,90,42.1,29.5,Potato
182,Clay,5.5,30,24,68,65.2,25.4,Rice
183,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
184,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
185,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
186,Loamy,6.4,44,29,84,46.2,28.1,Potato
187,Clay,5.9,33,26,72,60.5,26.7,Rice
188,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
189,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
190,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
191,Loamy,6.6,46,31,88,44.5,28.9,Potato
192,Clay,5.7,31,23,69,63.4,26.1,Rice
193,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
194,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
195,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
196,Loamy,6.3,43,27,83,47.1,27.5,Potato
197,Clay,6.1,34,21,74,59.2,25.5,Rice
198,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
199,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
200,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
201,Loamy,6.5,45,30,85,45.2,28.5,Potato
202,Clay,5.8,32,25,70,62.1,26.4,Rice
203,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
204,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
205,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
206,Loamy,6.2,42,28,82,48.5,27.8,Potato
207,Clay,6.0,35,22,75,58.4,25.9,Rice
208,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
209,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
210,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
211,Loamy,6.7,48,32,90,42.1,29.5,Potato
212,Clay,5.5,30,24,68,65.2,25.4,Rice
213,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
214,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
215,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
216,Loamy,6.4,44,29,84,46.2,28.1,Potato
217,Clay,5.9,33,26,72,60.5,26.7,Rice
218,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
219,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
220,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
221,Loamy,6.6,46,31,88,44.5,28.9,Potato
222,Clay,5.7,31,23,69,63.4,26.1,Rice
223,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
224,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
225,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
226,Loamy,6.3,43,27,83,47.1,27.5,Potato
227,Clay,6.1,34,21,74,59.2,25.5,Rice
228,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
229,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
230,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
231,Loamy,6.8,49,33,92,41.5,30.1,Potato
232,Clay,5.4,29,25,67,66.1,25.1,Rice
233,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
234,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
235,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
236,Loamy,6.5,45,30,85,45.2,28.5,Potato
237,Clay,5.8,32,25,70,62.1,26.4,Rice
238,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
239,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
240,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
241,Loamy,6.2,42,28,82,48.5,27.8,Potato
242,Clay,6.0,35,22,75,58.4,25.9,Rice
243,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
244,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
245,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
246,Loamy,6.7,48,32,90,42.1,29.5,Potato
247,Clay,5.5,30,24,68,65.2,25.4,Rice
248,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
249,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
250,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
251,Loamy,6.4,44,29,84,46.2,28.1,Potato
252,Clay,5.9,33,26,72,60.5,26.7,Rice
253,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
254,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
255,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
256,Loamy,6.6,46,31,88,44.5,28.9,Potato
257,Clay,5.7,31,23,69,63.4,26.1,Rice
258,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
259,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
260,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
261,Loamy,6.3,43,27,83,47.1,27.5,Potato
262,Clay,6.1,34,21,74,59.2,25.5,Rice
263,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
264,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
265,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
266,Loamy,6.8,49,33,92,41.5,30.1,Potato
267,Clay,5.4,29,25,67,66.1,25.1,Rice
268,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
269,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
270,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
271,Loamy,6.5,45,30,85,45.2,28.5,Potato
272,Clay,5.8,32,25,70,62.1,26.4,Rice
273,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
274,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
275,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
276,Loamy,6.2,42,28,82,48.5,27.8,Potato
277,Clay,6.0,35,22,75,58.4,25.9,Rice
278,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
279,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
280,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
281,Loamy,6.7,48,32,90,42.1,29.5,Potato
282,Clay,5.5,30,24,68,65.2,25.4,Rice
283,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
284,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
285,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
286,Loamy,6.4,44,29,84,46.2,28.1,Potato
287,Clay,5.9,33,26,72,60.5,26.7,Rice
288,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
289,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
290,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
291,Loamy,6.6,46,31,88,44.5,28.9,Potato
292,Clay,5.7,31,23,69,63.4,26.1,Rice
293,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
294,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
295,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
296,Loamy,6.3,43,27,83,47.1,27.5,Potato
297,Clay,6.1,34,21,74,59.2,25.5,Rice
298,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
299,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
300,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
301,Loamy,6.5,45,30,85,45.2,28.5,Potato
302,Clay,5.8,32,25,70,62.1,26.4,Rice
303,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
304,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
305,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
306,Loamy,6.2,42,28,82,48.5,27.8,Potato
307,Clay,6.0,35,22,75,58.4,25.9,Rice
308,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
309,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
310,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
311,Loamy,6.7,48,32,90,42.1,29.5,Potato
312,Clay,5.5,30,24,68,65.2,25.4,Rice
313,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
314,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
315,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
316,Loamy,6.4,44,29,84,46.2,28.1,Potato
317,Clay,5.9,33,26,72,60.5,26.7,Rice
318,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
319,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
320,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
321,Loamy,6.6,46,31,88,44.5,28.9,Potato
322,Clay,5.7,31,23,69,63.4,26.1,Rice
323,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
324,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
325,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
326,Loamy,6.3,43,27,83,47.1,27.5,Potato
327,Clay,6.1,34,21,74,59.2,25.5,Rice
328,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
329,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
330,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
331,Loamy,6.8,49,33,92,41.5,30.1,Potato
332,Clay,5.4,29,25,67,66.1,25.1,Rice
333,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
334,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
335,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
336,Loamy,6.5,45,30,85,45.2,28.5,Potato
337,Clay,5.8,32,25,70,62.1,26.4,Rice
338,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
339,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
340,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
341,Loamy,6.2,42,28,82,48.5,27.8,Potato
342,Clay,6.0,35,22,75,58.4,25.9,Rice
343,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
344,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
345,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
346,Loamy,6.7,48,32,90,42.1,29.5,Potato
347,Clay,5.5,30,24,68,65.2,25.4,Rice
348,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
349,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
350,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
351,Loamy,6.4,44,29,84,46.2,28.1,Potato
352,Clay,5.9,33,26,72,60.5,26.7,Rice
353,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
354,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
355,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
356,Loamy,6.6,46,31,88,44.5,28.9,Potato
357,Clay,5.7,31,23,69,63.4,26.1,Rice
358,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
359,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
360,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
361,Loamy,6.3,43,27,83,47.1,27.5,Potato
362,Clay,6.1,34,21,74,59.2,25.5,Rice
363,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
364,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
365,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
366,Loamy,6.8,49,33,92,41.5,30.1,Potato
367,Clay,5.4,29,25,67,66.1,25.1,Rice
368,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
369,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
370,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
371,Loamy,6.5,45,30,85,45.2,28.5,Potato
372,Clay,5.8,32,25,70,62.1,26.4,Rice
373,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
374,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
375,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
376,Loamy,6.2,42,28,82,48.5,27.8,Potato
377,Clay,6.0,35,22,75,58.4,25.9,Rice
378,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
379,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
380,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
381,Loamy,6.7,48,32,90,42.1,29.5,Potato
382,Clay,5.5,30,24,68,65.2,25.4,Rice
383,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
384,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
385,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
386,Loamy,6.4,44,29,84,46.2,28.1,Potato
387,Clay,5.9,33,26,72,60.5,26.7,Rice
388,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
389,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
390,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
391,Loamy,6.6,46,31,88,44.5,28.9,Potato
392,Clay,5.7,31,23,69,63.4,26.1,Rice
393,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
394,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
395,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
396,Loamy,6.3,43,27,83,47.1,27.5,Potato
397,Clay,6.1,34,21,74,59.2,25.5,Rice
398,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
399,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
400,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
401,Loamy,6.5,45,30,85,45.2,28.5,Potato
402,Clay,5.8,32,25,70,62.1,26.4,Rice
403,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
404,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
405,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
406,Loamy,6.2,42,28,82,48.5,27.8,Potato
407,Clay,6.0,35,22,75,58.4,25.9,Rice
408,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
409,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
410,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
411,Loamy,6.7,48,32,90,42.1,29.5,Potato
412,Clay,5.5,30,24,68,65.2,25.4,Rice
413,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
414,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
415,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
416,Loamy,6.4,44,29,84,46.2,28.1,Potato
417,Clay,5.9,33,26,72,60.5,26.7,Rice
418,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
419,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
420,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
421,Loamy,6.6,46,31,88,44.5,28.9,Potato
422,Clay,5.7,31,23,69,63.4,26.1,Rice
423,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
424,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
425,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
426,Loamy,6.3,43,27,83,47.1,27.5,Potato
427,Clay,6.1,34,21,74,59.2,25.5,Rice
428,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
429,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
430,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
431,Loamy,6.8,49,33,92,41.5,30.1,Potato
432,Clay,5.4,29,25,67,66.1,25.1,Rice
433,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
434,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
435,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
436,Loamy,6.5,45,30,85,45.2,28.5,Potato
437,Clay,5.8,32,25,70,62.1,26.4,Rice
438,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
439,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
440,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
441,Loamy,6.2,42,28,82,48.5,27.8,Potato
442,Clay,6.0,35,22,75,58.4,25.9,Rice
443,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
444,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
445,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
446,Loamy,6.7,48,32,90,42.1,29.5,Potato
447,Clay,5.5,30,24,68,65.2,25.4,Rice
448,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
449,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
450,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
451,Loamy,6.4,44,29,84,46.2,28.1,Potato
452,Clay,5.9,33,26,72,60.5,26.7,Rice
453,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
454,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
455,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
456,Loamy,6.6,46,31,88,44.5,28.9,Potato
457,Clay,5.7,31,23,69,63.4,26.1,Rice
458,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
459,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
